 ================================================================================
                               TOYGENERATOR EVENTS                                       
 ================================================================================
 
   ISR generation using seed = 5234 at center of mass energy = 1.00 GeV
 
   px-      py-      pz-       E-    pmod-      th-      px+      py+      pz+       E+    pmod+      th+       qq    pgamx    pgamy    pgamz     Egam    thgam
 -0.18    -0.04     0.42     0.47     0.46    23.41     0.18     0.04    -0.45     0.50     0.49   157.80     0.94    -0.00     0.00     0.03     0.03     2.69
 -0.02     0.24     0.17     0.31     0.29    55.60    -0.20    -0.35    -0.06     0.42     0.41    98.72     0.47     0.22     0.10    -0.11     0.27   113.22
  0.09     0.01    -0.16     0.21     0.18   152.28    -0.10     0.01    -0.30     0.33     0.31   161.74     0.08     0.01    -0.02     0.46     0.46     2.48
 -0.08     0.17    -0.35     0.41     0.39   150.99     0.08    -0.18    -0.02     0.22     0.19    97.34     0.26     0.00     0.00     0.37     0.37     0.19
  0.05     0.04     0.47     0.48     0.47     8.27    -0.05    -0.04    -0.48     0.50     0.49   172.02     0.97    -0.00    -0.00     0.02     0.02     1.07
  0.44     0.15     0.12     0.49     0.48    75.99    -0.44    -0.15    -0.13     0.50     0.48   105.43     0.98    -0.00     0.00     0.01     0.01     0.34
  0.40     0.23     0.10     0.48     0.47    78.36    -0.40    -0.23    -0.12     0.49     0.48   104.74     0.95     0.00    -0.00     0.03     0.03     2.92
 -0.29    -0.22    -0.07     0.39     0.37   100.27     0.03    -0.00    -0.17     0.20     0.17   169.89     0.17     0.26     0.22     0.23     0.41    55.88
 -0.07     0.16     0.23     0.31     0.29    36.76    -0.08    -0.32    -0.31     0.46     0.45   133.03     0.53     0.15     0.16     0.08     0.23    70.78
  0.43     0.04    -0.12     0.46     0.45   106.15    -0.37    -0.07    -0.01     0.39     0.38    91.82     0.70    -0.06     0.03     0.14     0.15    25.93
  0.36     0.22     0.05     0.44     0.42    83.07    -0.27    -0.31    -0.01     0.43     0.41    91.11     0.73    -0.09     0.09    -0.04     0.14   108.69
