 ================================================================================
                               TOYGENERATOR HISTOGRAMS                                       
 ================================================================================
 
   ISR generation using seed = 5235 at center of mass energy = 1.00 GeV
 
 
 ****************************************************************
 
 p modulus mu-
      binlow         binhigh         content           error
       0.000           0.000           0.000           0.000
       0.000           0.005           0.000           0.000
       0.005           0.010           0.000           0.000
       0.010           0.015           0.000           0.000
       0.015           0.020           0.000           0.000
       0.020           0.024           0.000           0.000
       0.024           0.029           0.000           0.000
       0.029           0.034           0.000           0.000
       0.034           0.039           0.000           0.000
       0.039           0.044           0.000           0.000
       0.044           0.049           0.000           0.000
       0.049           0.054           0.145           0.145
       0.054           0.059           0.145           0.145
       0.059           0.064           0.000           0.000
       0.064           0.068           0.145           0.145
       0.068           0.073           0.436           0.252
       0.073           0.078           0.436           0.252
       0.078           0.083           0.436           0.252
       0.083           0.088           0.726           0.325
       0.088           0.093           0.726           0.325
       0.093           0.098           0.145           0.145
       0.098           0.103           0.726           0.325
       0.103           0.108           0.581           0.291
       0.108           0.112           1.598           0.482
       0.112           0.117           2.034           0.543
       0.117           0.122           3.486           0.712
       0.122           0.127           3.196           0.681
       0.127           0.132           2.760           0.633
       0.132           0.137           3.631           0.726
       0.137           0.142           4.212           0.782
       0.142           0.147           4.067           0.769
       0.147           0.151           4.067           0.769
       0.151           0.156           5.665           0.907
       0.156           0.161           3.922           0.755
       0.161           0.166           5.810           0.919
       0.166           0.171           6.536           0.974
       0.171           0.176           4.648           0.822
       0.176           0.181           6.246           0.952
       0.181           0.186           5.810           0.919
       0.186           0.191           6.101           0.941
       0.191           0.195           6.682           0.985
       0.195           0.200           5.520           0.895
       0.200           0.205           6.536           0.974
       0.205           0.210           5.665           0.907
       0.210           0.215           6.391           0.964
       0.215           0.220           6.391           0.964
       0.220           0.225           6.682           0.985
       0.225           0.230           7.117           1.017
       0.230           0.235           8.715           1.125
       0.235           0.239           6.536           0.974
       0.239           0.244           6.536           0.974
       0.244           0.249           7.408           1.037
       0.249           0.254           6.246           0.952
       0.254           0.259           8.279           1.097
       0.259           0.264           8.425           1.106
       0.264           0.269           8.134           1.087
       0.269           0.274           9.441           1.171
       0.274           0.279           6.536           0.974
       0.279           0.283           6.827           0.996
       0.283           0.288           8.570           1.116
       0.288           0.293           8.425           1.106
       0.293           0.298          10.313           1.224
       0.298           0.303           7.844           1.067
       0.303           0.308           5.810           0.919
       0.308           0.313           6.972           1.006
       0.313           0.318          10.023           1.207
       0.318           0.323           8.425           1.106
       0.323           0.327           8.279           1.097
       0.327           0.332           9.587           1.180
       0.332           0.337           9.732           1.189
       0.337           0.342          10.749           1.250
       0.342           0.347          11.330           1.283
       0.347           0.352          10.458           1.233
       0.352           0.357           8.134           1.087
       0.357           0.362          11.185           1.275
       0.362           0.367           9.877           1.198
       0.367           0.371          10.749           1.250
       0.371           0.376          10.604           1.241
       0.376           0.381           7.844           1.067
       0.381           0.386          10.313           1.224
       0.386           0.391           7.117           1.017
       0.391           0.396           7.553           1.047
       0.396           0.401           5.955           0.930
       0.401           0.406           5.374           0.884
       0.406           0.411           2.179           0.563
       0.411           0.415           1.453           0.459
       0.415           0.420           1.162           0.411
       0.420           0.425           0.145           0.145
       0.425           0.430           0.436           0.252
       0.430           0.435           0.436           0.252
       0.435           0.440           0.872           0.356
       0.440           0.445           0.291           0.205
       0.445           0.450           0.436           0.252
       0.450           0.454           0.145           0.145
       0.454           0.459           0.000           0.000
       0.459           0.464           0.000           0.000
       0.464           0.469           0.000           0.000
       0.469           0.474           0.000           0.000
       0.474           0.479           0.000           0.000
